"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testExampleaaas","Surefire suite","Wed Oct 09 18:48:52 BRT 2024","passed","Wed Oct 09 18:48:52 BRT 2024","br.com.testandoSelenide.api.page.tests.HomeTest","Surefire test","br.com.testandoSelenide.api.page.tests.HomeTest","testExampleaaas"
"","0","testExamples","Surefire suite","Wed Oct 09 18:48:52 BRT 2024","passed","Wed Oct 09 18:48:52 BRT 2024","br.com.testandoSelenide.api.page.tests.HomeTest","Surefire test","br.com.testandoSelenide.api.page.tests.HomeTest","testExamples"
"","1","testEfasdfdsaasdfsaxampleaaas","Surefire suite","Wed Oct 09 18:48:52 BRT 2024","passed","Wed Oct 09 18:48:52 BRT 2024","br.com.testandoSelenide.api.page.tests.HomeTest","Surefire test","br.com.testandoSelenide.api.page.tests.HomeTest","testEfasdfdsaasdfsaxampleaaas"
"","0","testdfsExamples","Surefire suite","Wed Oct 09 18:48:52 BRT 2024","passed","Wed Oct 09 18:48:52 BRT 2024","br.com.testandoSelenide.api.page.tests.HomeTest","Surefire test","br.com.testandoSelenide.api.page.tests.HomeTest","testdfsExamples"
"","1","testExample","Surefire suite","Wed Oct 09 18:48:52 BRT 2024","passed","Wed Oct 09 18:48:52 BRT 2024","br.com.testandoSelenide.api.page.tests.HomeTest","Surefire test","br.com.testandoSelenide.api.page.tests.HomeTest","testExample"
"","3","testEasfdsafxampleaaas","Surefire suite","Wed Oct 09 18:48:52 BRT 2024","passed","Wed Oct 09 18:48:52 BRT 2024","br.com.testandoSelenide.api.page.tests.HomeTest","Surefire test","br.com.testandoSelenide.api.page.tests.HomeTest","testEasfdsafxampleaaas"
"","0","testExdsdavgsdvampleaaas","Surefire suite","Wed Oct 09 18:48:52 BRT 2024","passed","Wed Oct 09 18:48:52 BRT 2024","br.com.testandoSelenide.api.page.tests.HomeTest","Surefire test","br.com.testandoSelenide.api.page.tests.HomeTest","testExdsdavgsdvampleaaas"
"","0","testExamffspleaaas","Surefire suite","Wed Oct 09 18:48:52 BRT 2024","passed","Wed Oct 09 18:48:52 BRT 2024","br.com.testandoSelenide.api.page.tests.HomeTest","Surefire test","br.com.testandoSelenide.api.page.tests.HomeTest","testExamffspleaaas"
"","0","testExadsdmpleaaas","Surefire suite","Wed Oct 09 18:48:52 BRT 2024","passed","Wed Oct 09 18:48:52 BRT 2024","br.com.testandoSelenide.api.page.tests.HomeTest","Surefire test","br.com.testandoSelenide.api.page.tests.HomeTest","testExadsdmpleaaas"
